AI课ID,使用模型类型,知识库资源个数,是否24年开设,平台ID,课程名称,教学班ID,教学班所属院系,主讲教师ID,班级正式学生人数,雨课堂日均开课时长（班级开课总时长/开课天数）,布置作业个数,作业在成绩中占比,布置考试个数,考试在成绩中占比,起始时间,结束时间,持续多少周,调整原因
1OqoJs8grTQTK,DeepSeek-R1,71,否,1OqoJs8grTQgV,英语C4,cMjRU6IPKlMTnO3B,,cMjRU6IPKoqrt8Jc,49,1:43:06,0,0.0,1,0.05,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
1OqoJs8grTQTK,DeepSeek-R1,71,否,1OqoJs8grTQgV,英语B4,cMjRU6IPKlMTnO6u,,cMjRU6IPKoqrt8FH,21,2:27:16,2,0.5,0,0.0,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
1OqoJs8grTQTK,DeepSeek-R1,71,否,1OqoJs8grTQgV,英语B4,cMjRU6IPKlMTnO72,,cMjRU6IPKoqrt90y,22,4:41:10,0,0.4,5,0.1,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
1OqoJs8grTQTK,DeepSeek-R1,71,否,1OqoJs8grTQgV,英语B4,cMjRU6IPKlMTnO74,,cMjRU6IPKoqrt8FJ,33,1:52:11,0,0.4,2,0.1,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
1OqoJs8grTQTK,DeepSeek-R1,71,否,1OqoJs8grTQgV,英语B4,cMjRU6IPKlMTnO75,,cMjRU6IPKoqrt8Iw,30,1:41:36,0,0.3,1,0.3,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
1OqoJs8grTQTK,DeepSeek-R1,71,否,1OqoJs8grTQgV,英语A4(卓),cMjRU6IPKlMTnOnj,,cMjRU6IPKoqrt8Iw,20,2:17:53,0,0.3,1,0.3,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
1OqoJs8grUDM8,智谱GLM-4-Plus,26,否,1OqoJs8grTQgV,概率论及数理统计B,cMjRU6IPKlMTnOJq,,cMjRU6IPKoqrAnOh,120,1:50:26,24,0.9,0,0.0,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
1OqoJs8grUqZv,智谱GLM-4-Plus,17,否,1OqoJs8grTQgV,中外饮食文化,cMjRU6IPKlMTnOMO,,cMjRU6IPKoqrAo58,352,1:49:56,0,0.0,8,1.0,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
37CzHPTzdAWB,通义千问Max,3,否,1OqoJs8grTQgV,半导体物理导论,cMjRU6IPKlMTt88k,,cMjRU6IPKoqrGgWt,81,2:03:09,0,0.2,22,0.2,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
37CzHPTzdBUQ,DeepSeek-R1,1689,是,1OqoJs8grTPBG,电路分析基础A,cMjRU6IPKlN1yh5W,电子与光学工程学院,cMjRU6IPKoteeXYl,132,5:07:44,0,0.1,2,0.3,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
37CzHPTzdBUQ,DeepSeek-R1,1689,是,1OqoJs8grTPBG,电路分析基础A,cMjRU6IPKlN1yh6o,电子与光学工程学院,cMjRU6IPKoteeXUR,105,1:45:17,0,0.0,7,0.1,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
37CzHPTzdBUQ,DeepSeek-R1,1689,是,1OqoJs8grTPBG,电路分析基础A,cMjRU6IPKlN1yh6q,电子与光学工程学院,cMjRU6IPKoteeYgQ,36,2:27:27,0,0.0,26,0.3,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
37CzHPTzdBUQ,DeepSeek-R1,1689,是,1OqoJs8grTPBG,电路分析基础A,cMjRU6IPKlN1yh6r,电子与光学工程学院,cMjRU6IPKoteeXBJ,35,2:26:54,3,0.06,17,0.3,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
37CzHPTzdBUQ,DeepSeek-R1,1689,是,1OqoJs8grTPBG,电路分析基础A,cMjRU6IPKlN1yh6s,电子与光学工程学院,cMjRU6IPKoteeXUR,35,1:43:39,0,0.0,13,0.3,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
37CzHPTzdBUQ,DeepSeek-R1,1689,是,1OqoJs8grTPBG,电路分析基础A（混合式）,cMjRU6IPKlN1yh6v,电子与光学工程学院,cMjRU6IPKoteeXiB,98,0:20:15,0,0.1,3,0.3,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
37CzHPTzdBUQ,DeepSeek-R1,1689,是,1OqoJs8grTPBG,电路分析基础A（混合式）,cMjRU6IPKlN1yh6w,电子与光学工程学院,cMjRU6IPKoteeXBJ,111,1:25:31,0,0.1,4,0.3,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
37CzHPTzdBUQ,DeepSeek-R1,1689,是,1OqoJs8grTPBG,电路分析基础A（混合式）,cMjRU6IPKlN1yh6x,电子与光学工程学院,cMjRU6IPKoteeXUR,59,1:46:50,0,0.0,3,0.0,2025-02-17 00:00:00,2025-07-06 00:00:00,20,使用学校统一时间
